id,type,address,number,Region,Province,Arrondissement,Municipality,type.1,postal_code,public,available,hours,numberStr,"('Latitude', 'Longitude')"
13.0,,Boulevard Fr. Roosevelt,24.0,Wallonia,Hainaut (le),Soignies,Soignies,,7060.0,Yes,,,24.0,"(nan, nan)"
70.0,,Ch. De Wégimont,76.0,Wallonia,Liège,Liège,Soumagne,,4630.0,,,,76.0,"(nan, nan)"
70.0,,Ch. De Wégimont,76.0,Wallonia,Liège,Liège,Soumagne,,4630.0,,,,76.0,"(nan, nan)"
71.0,,Place Saint - Lambert,,Wallonia,Liège,Liège,Liège,,4020.0,,,,,"(50.6451853, 5.5742929)"
72.0,,Rue Du Doyard,,Wallonia,Liège,Verviers,Lierneux,,4990.0,,,,,"(50.2856407, 5.7808696)"
73.0,,Fond Saint Servais,,Wallonia,Liège,Liège,Liège,,4000.0,,,,,"(50.647276000000005, 5.570219402542373)"
73.0,,Fond Saint Servais,,Wallonia,Liège,Liège,Liège,,4000.0,,,,,"(50.647276000000005, 5.570219402542373)"
74.0,,Rue Des Prémontrès,12.0,Wallonia,Liège,Liège,Liège,,4020.0,,,,12.0,"(50.6380469, 5.5740461)"
75.0,,Route De Bastogne,1.0,Wallonia,Liège,Liège,Aywaille,,4920.0,,,,1.0,"(50.3806158, 5.680907587084247)"
76.0,,Rue Du Parc,1.0,Wallonia,Liège,Huy,Amay,,4540.0,,,,1.0,"(50.44500025, 5.261918856333335)"
77.0,,Boulevard De La Constitution,19.0,Wallonia,Liège,Liège,Liège,,4020.0,,,,19.0,"(50.64334765, 5.583379851103196)"
78.0,,Place De La République Française,,Wallonia,Liège,Liège,Liège,,4000.0,,,,,"(50.6434974, 5.572064739950166)"
78.0,,Place De La République Française,,Wallonia,Liège,Liège,Liège,,4000.0,,,,,"(50.6434974, 5.572064739950166)"
79.0,,Rue Darchis,33.0,Wallonia,Liège,Liège,Liège,,4020.0,,,,33.0,"(50.63699855, 5.565328490517242)"
86.0,,Schumanplein,11.0,Brussels,,Bruxelles-Capitale,Bruxelles,,1040.0,,,,11.0,"(50.8428283, 4.3844261)"
86.0,,Schumanplein,11.0,Brussels,,Bruxelles-Capitale,Etterbeek,,1040.0,,,,11.0,"(50.8428283, 4.3844261)"
87.0,,Uitbreidingstraat,,Flanders,Antwerpen,Antwerpen,Antwerpen,,2600.0,,,,,"(51.2004857, 4.4325079)"
95.0,,Peperstraat,2.0,Flanders,Vlaams-Brabant,Leuven,Tienen,,3300.0,Yes,,,2.0,"(50.998105800000005, 4.8781133289798575)"
96.0,,Graafschap - Jettelaan,2.0,Brussels,,Bruxelles-Capitale,Jette,,1090.0,,,,2.0,"(50.8830136, 4.3331888)"
97.0,,Sint-Pieterskerstraat,,Brussels,,Bruxelles-Capitale,Jette,,1090.0,,,,,"(nan, nan)"
98.0,,Wemmelsestweg,100.0,Brussels,,Bruxelles-Capitale,Jette,,1090.0,,,,100.0,"(nan, nan)"
100.0,,Rue Pietro Ferrero,5.0,Wallonia,Luxembourg,Arlon,Arlon,,6700.0,No,,,5.0,"(49.6767669, 5.816835779216131)"
101.0,,Tweestationsstraat,80.0,Brussels,,Bruxelles-Capitale,Anderlecht,,1070.0,,,,80.0,"(50.831942299999994, 4.328980253636651)"
102.0,,Nieuwe Weg,1.0,Flanders,Antwerpen,Antwerpen,Zwijndrecht,,2070.0,Yes,,,1.0,"(51.23432845000001, 4.320172570867044)"
111.0,,Hermeslaan,2.0,Flanders,Vlaams-Brabant,Halle-Vilvoorde,Machelen,,1831.0,,,,2.0,"(50.88091925, 4.442448069989586)"
115.0,,Gemeenteplein,1.0,Flanders,Limburg,Tongeren,Voeren,,3798.0,Yes,,,1.0,"(50.889539, 5.652166723124434)"
116.0,,Remersdaal-Dorp,1.0,Flanders,Limburg,Tongeren,Voeren,,3791.0,,,,1.0,"(50.731173, 5.880948698706895)"
117.0,,Sint-Pieterstraat,20.0,Flanders,Limburg,Tongeren,Voeren,,3792.0,Yes,,,20.0,"(50.73746745, 5.823412607364022)"
118.0,,Kerkplein,1.0,Flanders,Limburg,Tongeren,Voeren,,3790.0,Yes,,,1.0,"(50.858616999999995, 5.389794740788313)"
118.0,,Kerkplein,1.0,Flanders,Limburg,Tongeren,Voeren,,3790.0,Yes,,,1.0,"(50.858616999999995, 5.389794740788313)"
119.0,,Gieveldstraat,,Flanders,Limburg,Tongeren,Voeren,,3793.0,Yes,,,,"(50.7572118, 5.8788335)"
120.0,,Kerkstraat,1.0,Flanders,Limburg,Tongeren,Voeren,,3790.0,Yes,,,1.0,"(50.7278204, 5.42708135059881)"
120.0,,Kerkstraat,1.0,Flanders,Limburg,Tongeren,Voeren,,3790.0,Yes,,,1.0,"(50.7278204, 5.42708135059881)"
167.0,,Vanhalstraat,1.0,Flanders,Vlaams-Brabant,Halle-Vilvoorde,Halle,,1500.0,Yes,,,1.0,"(nan, nan)"
170.0,,Brikkenovenstraat,48.0,Flanders,Limburg,Hasselt,Genk,,3600.0,No,,,48.0,"(50.97965045, 5.472422009968787)"
214.0,,Rue De L Ã‰glise,,Brussels,,Bruxelles-Capitale,Woluwe-Saint-Pierre,,1150.0,,,,,"(nan, nan)"
218.0,,Cours Des Mineurs,,Wallonia,Liège,Liège,Liège,,4000.0,,,,,"(nan, nan)"
218.0,,Cours Des Mineurs,,Wallonia,Liège,Liège,Liège,,4000.0,,,,,"(nan, nan)"
219.0,,Rue Des Croisiers,15.0,Wallonia,Liège,Liège,Liège,,4000.0,,,,15.0,"(50.63892735, 5.574213550178143)"
219.0,,Rue Des Croisiers,15.0,Wallonia,Liège,Liège,Liège,,4000.0,,,,15.0,"(50.63892735, 5.574213550178143)"
220.0,,Rue De L Ã‰cole Technique,,Wallonia,Liège,Liège,Herstal,,4040.0,,,,,"(nan, nan)"
221.0,,Rue De Wallonie,30.0,Wallonia,Liège,Liège,GrÃ¢ce-Hollogne,,4460.0,,,,30.0,"(50.657829, 5.493476181290193)"
222.0,,Rue Paul D Andrimont,24.0,Wallonia,Liège,Liège,Soumagne,,4630.0,,,,24.0,"(50.62311975, 5.7113776166050085)"
222.0,,Rue Paul D Andrimont,24.0,Wallonia,Liège,Liège,Soumagne,,4630.0,,,,24.0,"(50.62311975, 5.7113776166050085)"
223.0,,Boulevard Léon Philippet,83.0,Wallonia,Liège,Liège,Liège,,4000.0,,,,83.0,"(50.65176945, 5.557592916525259)"
223.0,,Boulevard Léon Philippet,83.0,Wallonia,Liège,Liège,Liège,,4000.0,,,,83.0,"(50.65176945, 5.557592916525259)"
224.0,,Rue Du Commerce,14.0,Wallonia,Liège,Liège,Seraing,,4100.0,,,,14.0,"(50.6129088, 5.507468721605432)"
225.0,,Rue Peetermans,80.0,Wallonia,Liège,Liège,Seraing,,4100.0,,,,80.0,"(50.6108903, 5.5097715)"
226.0,,Rue J. Stassart,15.0,Wallonia,Liège,Waremme,Crisnée,,4367.0,,,,15.0,"(nan, nan)"
227.0,,Route De Dinant,119.0,Wallonia,Liège,Liège,Liège,,4020.0,,,,119.0,"(nan, nan)"
228.0,,Rue De Huy,123.0,Wallonia,Liège,Waremme,Waremme,,4300.0,,,,123.0,"(50.6870991, 5.250619057379783)"
229.0,,Rue De Sélys,35.0,Wallonia,Liège,Waremme,Waremme,,4300.0,,,,35.0,"(50.69256235, 5.245321200000003)"
230.0,,Rue St. Pierre,48.0,Wallonia,Liège,Huy,Huy,,4500.0,,,,48.0,"(50.523112499999996, 5.236833411646686)"
