,id,type,address,number,postal_code,municipality,province,public,available,hours,latitude,longitude
0,13.0,,Boulevard Fr. Roosevelt,24.0,7060,Soignies,Hainaut (le),Yes,,,,
1,70.0,,Ch. De Wégimont,76.0,4630,Soumagne,Liège,,,,,
2,70.0,,Ch. De Wégimont,76.0,4630,Soumagne,Liège,,,,,
3,71.0,,Place Saint - Lambert,,4020,Liège,Liège,,,,50.6451853,5.5742929
4,72.0,,Rue Du Doyard,,4990,Lierneux,Liège,,,,50.2856407,5.7808696
5,73.0,,Fond Saint Servais,,4000,Liège,Liège,,,,50.647276000000005,5.570219402542373
6,73.0,,Fond Saint Servais,,4000,Liège,Liège,,,,50.647276000000005,5.570219402542373
7,74.0,,Rue Des Prémontrès,12.0,4020,Liège,Liège,,,,50.6380469,5.5740461
8,75.0,,Route De Bastogne,1.0,4920,Aywaille,Liège,,,,50.3806158,5.680907587084247
9,76.0,,Rue Du Parc,1.0,4540,Amay,Liège,,,,50.44500025,5.261918856333335
10,77.0,,Boulevard De La Constitution,19.0,4020,Liège,Liège,,,,50.64334765,5.583379851103196
11,78.0,,Place De La République Française,,4000,Liège,Liège,,,,50.6434974,5.572064739950166
12,78.0,,Place De La République Française,,4000,Liège,Liège,,,,50.6434974,5.572064739950166
13,79.0,,Rue Darchis,33.0,4020,Liège,Liège,,,,50.63699855,5.565328490517242
14,86.0,,Schumanplein,11.0,1040,Bruxelles,,,,,50.8428283,4.3844261
15,86.0,,Schumanplein,11.0,1040,Etterbeek,,,,,50.8428283,4.3844261
16,87.0,,Uitbreidingstraat,,2600,Antwerpen,Antwerpen,,,,51.2004857,4.4325079
17,95.0,,Peperstraat,2.0,3300,Tienen,Vlaams-Brabant,Yes,,,50.998105800000005,4.8781133289798575
18,96.0,,Graafschap - Jettelaan,2.0,1090,Jette,,,,,50.8830136,4.3331888
19,97.0,,Sint-Pieterskerstraat,,1090,Jette,,,,,,
20,98.0,,Wemmelsestweg,100.0,1090,Jette,,,,,,
21,100.0,,Rue Pietro Ferrero,5.0,6700,Arlon,Luxembourg,No,,,49.6767669,5.816835779216131
22,101.0,,Tweestationsstraat,80.0,1070,Anderlecht,,,,,50.831942299999994,4.328980253636651
23,102.0,,Nieuwe Weg,1.0,2070,Zwijndrecht,Antwerpen,Yes,,,51.23432845000001,4.320172570867044
24,111.0,,Hermeslaan,2.0,1831,Machelen,Vlaams-Brabant,,,,50.88091925,4.442448069989586
25,115.0,,Gemeenteplein,1.0,3798,Voeren,Limburg,Yes,,,50.889539,5.652166723124434
26,116.0,,Remersdaal-Dorp,1.0,3791,Voeren,Limburg,,,,50.731173,5.880948698706895
27,117.0,,Sint-Pieterstraat,20.0,3792,Voeren,Limburg,Yes,,,50.73746745,5.823412607364022
28,118.0,,Kerkplein,1.0,3790,Voeren,Limburg,Yes,,,50.858616999999995,5.389794740788313
29,118.0,,Kerkplein,1.0,3790,Voeren,Limburg,Yes,,,50.858616999999995,5.389794740788313
30,119.0,,Gieveldstraat,,3793,Voeren,Limburg,Yes,,,50.7572118,5.8788335
31,120.0,,Kerkstraat,1.0,3790,Voeren,Limburg,Yes,,,50.7278204,5.42708135059881
32,120.0,,Kerkstraat,1.0,3790,Voeren,Limburg,Yes,,,50.7278204,5.42708135059881
33,167.0,,Vanhalstraat,1.0,1500,Halle,Vlaams-Brabant,Yes,,,,
34,170.0,,Brikkenovenstraat,48.0,3600,Genk,Limburg,No,,,50.97965045,5.472422009968787
35,214.0,,Rue De L Ã‰glise,,1150,Woluwe-Saint-Pierre,,,,,,
36,218.0,,Cours Des Mineurs,,4000,Liège,Liège,,,,,
37,218.0,,Cours Des Mineurs,,4000,Liège,Liège,,,,,
38,219.0,,Rue Des Croisiers,15.0,4000,Liège,Liège,,,,50.63892735,5.574213550178143
39,219.0,,Rue Des Croisiers,15.0,4000,Liège,Liège,,,,50.63892735,5.574213550178143
40,220.0,,Rue De L Ã‰cole Technique,,4040,Herstal,Liège,,,,,
41,221.0,,Rue De Wallonie,30.0,4460,GrÃ¢ce-Hollogne,Liège,,,,50.657829,5.493476181290193
42,222.0,,Rue Paul D Andrimont,24.0,4630,Soumagne,Liège,,,,50.62311975,5.7113776166050085
43,222.0,,Rue Paul D Andrimont,24.0,4630,Soumagne,Liège,,,,50.62311975,5.7113776166050085
44,223.0,,Boulevard Léon Philippet,83.0,4000,Liège,Liège,,,,50.65176945,5.557592916525259
45,223.0,,Boulevard Léon Philippet,83.0,4000,Liège,Liège,,,,50.65176945,5.557592916525259
46,224.0,,Rue Du Commerce,14.0,4100,Seraing,Liège,,,,50.6129088,5.507468721605432
